LSTAT,RM,DIS,NOX,PTRATIO,CRIM,TARGET
4.98,6.575,4.09,0.538,15.3,0.00632,24.0
9.14,6.421,4.9671,0.469,17.8,0.02731,21.6
4.03,7.185,4.9671,0.469,17.8,0.02729,34.7
2.94,6.998,6.0622,0.458,18.7,0.03237,33.4
5.33,7.147,6.0622,0.458,18.7,0.06905,36.2
5.21,6.43,6.0622,0.458,18.7,0.02985,28.7
12.43,6.012,5.5605,0.524,15.2,0.08829,22.9
19.15,6.172,5.9505,0.524,15.2,0.14455,27.1
29.93,5.631,6.0821,0.524,15.2,0.21124,16.5
17.1,6.004,6.5921,0.524,15.2,0.17004,18.9
20.45,6.377,6.3467,0.524,15.2,0.22489,15.0
13.27,6.009,6.2267,0.524,15.2,0.11747,18.9
15.71,5.889,5.4509,0.524,15.2,0.09378,21.7
8.26,5.949,4.7075,0.538,21.0,0.62976,20.4
10.26,6.096,4.4619,0.538,21.0,0.63796,18.2
8.47,5.834,4.4986,0.538,21.0,0.62739,19.9
6.58,5.935,4.4986,0.538,21.0,1.05393,23.1
14.67,5.99,4.2579,0.538,21.0,0.7842,17.5
11.69,5.456,3.7965,0.538,21.0,0.80271,20.2
11.28,5.727,3.7965,0.538,21.0,0.7258,18.2
21.02,5.57,3.7979,0.538,21.0,1.25179,13.6
13.83,5.965,4.0123,0.538,21.0,0.85204,19.6
18.72,6.142,3.9769,0.538,21.0,1.23247,15.2
19.88,5.813,4.0952,0.538,21.0,0.98843,14.5
16.3,5.924,4.3996,0.538,21.0,0.75026,15.6
16.51,5.599,4.4546,0.538,21.0,0.84054,13.9
14.81,5.813,4.682,0.538,21.0,0.67191,16.6
17.28,6.047,4.4534,0.538,21.0,0.95577,14.8
12.8,6.495,4.4547,0.538,21.0,0.77299,18.4
11.98,6.674,4.239,0.538,21.0,1.00245,21.0
22.6,5.713,4.233,0.538,21.0,1.13081,12.7
13.04,6.072,4.175,0.538,21.0,1.35472,14.5
27.71,5.95,3.99,0.538,21.0,1.38799,13.2
18.35,5.701,3.7872,0.538,21.0,1.15172,13.1
20.34,6.096,3.7598,0.538,21.0,1.61282,13.5
9.68,5.933,3.3603,0.499,19.2,0.06417,18.9
11.41,5.841,3.3779,0.499,19.2,0.09744,20.0
8.77,5.85,3.9342,0.499,19.2,0.08014,21.0
10.13,5.966,3.8473,0.499,19.2,0.17505,24.7
4.32,6.595,5.4011,0.428,18.3,0.02763,30.8
1.98,7.024,5.4011,0.428,18.3,0.03359,34.9
4.84,6.77,5.7209,0.448,17.9,0.12744,26.6
